Cuvant: ~If~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~469~
Cuvant: ~kiss~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~caressing~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~vintage~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Pausing~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~Byron's~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~mistress~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Parisina~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~declaimed~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~sonorous~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~tidings~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~sultans~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~scimitars~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Bonaparte~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Demanded~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~darkly~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~Shelley's~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~pensioner~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~detractor~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~pardonable~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~disowned~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Godwin~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Alastor~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~pervading~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~musings~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~savagely~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~contemptuously~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~Southey~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~wasting~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~reprovingly~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~thrill~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Thynne~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~raptures~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Thynnes~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~bewitched~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~caliphs~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~supercritical~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~disrepute~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~resentful~; Parte expl.: ~adjectiv~; Nr. intrari: ~3~
Cuvant: ~Siege~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Corinth~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~slovenly~; Parte expl.: ~adjectiv~; Nr. intrari: ~3~
Cuvant: ~Byronism~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~low-water~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~gaily~; Parte expl.: ~adverb~; Nr. intrari: ~5~
Cuvant: ~disclosures~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~far-famed~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~flaunted~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~languishing~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~smallish~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Terrace~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~spies~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Milbankes~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~myrrh~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~aloes~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~pounds'~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Jesus's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~wrapped~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~winding-clothes~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~spices~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Listed~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Descent~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Arimathea~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Search~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~mourners~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Dell'Arca~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Lamentation~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~grief-stricken~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~usurped~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~lap~; Parte expl.: ~substantiv~; Nr. intrari: ~12~
Cuvant: ~Pontius~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Pilate's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~mourn~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Pieta~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~halos~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~resurrected~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~inert~; Parte expl.: ~adjectiv~; Nr. intrari: ~4~
Cuvant: ~ungainly~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~convincingly~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~probed~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~remotest~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~loosen~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~Visually~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~stalls~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~sweet-faced~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~foreheads~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Discovering~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~draperies~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~improvised~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~life-size~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~draper~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~wet~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~lightweight~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~Argiento~; Parte expl.: ~substantiv~; Nr. intrari: ~13~
Cuvant: ~Tiber~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~drapery~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~organically~; Parte expl.: ~adverb~; Nr. intrari: ~2~
Cuvant: ~Madonna's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~substantive~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~intensify~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~wryly~; Parte expl.: ~adverb~; Nr. intrari: ~2~
Cuvant: ~sluiced~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Michelangelo~; Parte expl.: ~substantiv~; Nr. intrari: ~17~
Cuvant: ~tactile~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~Hebraic~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Francesco~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Ripa~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Inquisition~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~sketching~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~Rabbi~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~Melzi~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~synagogue~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~rabbi~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~robed~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~gabardine~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~skullcap~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Talmud~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~graven~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~tenets~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Carrara~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~marble~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~Dionigi~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Workmen~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~sinewy~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~infinitely~; Parte expl.: ~adverb~; Nr. intrari: ~2~
Cuvant: ~Leave~; Parte expl.: ~verb~; Nr. intrari: ~5~
Cuvant: ~Sangallo's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~bachelor~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~simulate~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~Madonna~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Sangallo~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~trestle~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~dusk~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~disrobe~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~toweling~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~wrap~; Parte expl.: ~verb~; Nr. intrari: ~4~
Cuvant: ~bolting~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~sitting~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~roughed~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~thirty-three~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~mid-fifties~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~wrinkled~; Parte expl.: ~verb~; Nr. intrari: ~7~
Cuvant: ~Jacopo~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Galli~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~sketched~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~linen~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~silk~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~Santo~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Tuscany~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~robes~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~composite~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~translucence~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~respected~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~scratchiness~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~plastically~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~reclining~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~enlarging~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Carving~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Jesuits~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~scrub~; Parte expl.: ~verb~; Nr. intrari: ~4~
Cuvant: ~laundry~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~scoured~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~liking~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~Scrub~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~stolidly~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~unteach~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Grumbled~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~campagna~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Po~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~anvil~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~courtyard~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~chisels~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~splinter~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~imbedded~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~panic~; Parte expl.: ~substantiv~; Nr. intrari: ~14~
Cuvant: ~Lippi~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~cage~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~pigeons~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~gush~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Michelangelo's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~pigeon~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~exclaiming~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~Gogol~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Chekhov~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~plaster-of-Paris~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~birdbath~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~gnomes~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~beards~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~mobcaps~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~beech~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~horse-chestnut~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~ridge~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~Pasterns~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~acre~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~adjoins~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~bulks~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~physicalness~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Pastern~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~soften~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Sitting~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~axe~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~self-esteem~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Offer~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Show~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~breed~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~mosquitoes~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Hand~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Grandmother~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Delancy~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~trumps~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~touching~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~ungrateful~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~bewilderingly~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~threadbare~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~bereavement~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Grassy~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Brae~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Bomb~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~locker-room~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~fineness~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Leaves~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~smelled~; Parte expl.: ~verb~; Nr. intrari: ~10~
Cuvant: ~ammoniac~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~acidity~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~boundless~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~zenith~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~canvass~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~hepatitis~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Charity~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~signified~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Balcolm~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Eyke~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Trenchard~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Horowitz~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Trempler~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Surcliffe~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Mothers'~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Dimes~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Craven~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Gilkson~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Hewlitt~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~birthcontrol~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Ryerson~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~slate~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Littleton's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~gout~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~thoughtless~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~smallpox~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~unwed~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~suspense~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~encyclopedias~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~sherry~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~stuff~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~kit~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Surcliffes'~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Scotch-and-soda~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~excitedly~; Parte expl.: ~adverb~; Nr. intrari: ~5~
Cuvant: ~Blevins~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Flannagans~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~pork~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Blevins'~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Flannagans'~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~hallway~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~Infectious~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~dyed~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~bloom~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~fading~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~checkbook~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Won't~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~cozier~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~stray~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Flannagan~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~Travelling~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Changing~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~riffle~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~sighs~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~exasperation~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Everything's~; Parte expl.: ~pronume~; Nr. intrari: ~1~
Cuvant: ~Sit~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~unhesitatingly~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~depressors~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Planes~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~coyness~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~patting~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~plumpness~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Sheer~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~procreative~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~sufferings~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~elevator~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~stockings~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~Throw~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~window-washing~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~harried~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~starlight~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~pari-mutuel~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~elm~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~scuff~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~unashamedly~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~shun~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Beth~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~jerking~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~gasps~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~twitched~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~convulsively~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~Kate~; Parte expl.: ~substantiv~; Nr. intrari: ~36~
Cuvant: ~stiffening~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Juanita~; Parte expl.: ~substantiv~; Nr. intrari: ~15~
Cuvant: ~crooning~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Jonathan~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Kate's~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Tussle~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~threes~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Trouble~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~bewilderment~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~stubbornly~; Parte expl.: ~adverb~; Nr. intrari: ~2~
Cuvant: ~Jonathan's~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~mutely~; Parte expl.: ~adverb~; Nr. intrari: ~1~
Cuvant: ~averting~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~packs~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~shriveled~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~steeled~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~nurse's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~nursery~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~remembrance~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~baby's~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~drooped~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~haunted~; Parte expl.: ~verb~; Nr. intrari: ~5~
Cuvant: ~Fitzroy~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~uneasily~; Parte expl.: ~adverb~; Nr. intrari: ~4~
Cuvant: ~Parkersburg~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~portended~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Randolph~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~replanted~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Annie~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~sneaked~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Harpers~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Ferry~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~deserted~; Parte expl.: ~verb~; Nr. intrari: ~8~
Cuvant: ~fathom~; Parte expl.: ~verb~; Nr. intrari: ~3~
